stock no.,link,gross_profit_changes
00709,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00709,"-1.36%, 5.43%, 0.9%, -12.43%"
00787,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00787,"-19.44%, -55.04%, -17.85%, -4.03%"
00891,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00891,"-12.41%, -4.36%, 3.02%, 9.43%"
00915,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00915,"-6.12%, -15.61%, 51.9%, -47.55%"
00918,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00918,"-24.62%, -78.51%, 133.0%, 141.62%"
00999,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00999,"7.92%, 8.03%, 5.93%, -16.06%"
01025,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01025,"12.32%, 19.07%, 12.54%, -80.41%"
01146,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01146,"-14.73%, 10.4%, 8.92%, -6.49%"
01150,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01150,"-27.3%, -2.51%, -20.52%, -7.44%"
01223,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01223,"2.48%, -15.73%, 13.36%, 7.47%"
01234,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01234,"-12.86%, 1.8%, 28.04%, 8.1%"
01247,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01247,"-94.51%, 470.58%, -41.92%, -23.77%"
01346,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01346,"34.08%, 22.53%, 18.0%"
01353,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01353,"-91.96%, 2210.46%, -100.29%, -28.33%"
01361,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01361,"15.74%, 2.2%, -2.34%, 7.78%"
01386,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01386,"-40.3%, -39.32%, -76.64%, -34.06%"
01433,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01433,"21.86%, 24.43%, 7.61%"
00360,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00360,"7.71%, -19.09%, -27.96%, -12.55%"
00720,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00720,"-25.02%, 28.88%, -61.42%, -21.57%"
00872,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00872,"-8.98%, 36.58%, 127.51%, 60.96%"
00881,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00881,"40.33%, 32.53%, 14.27%, 15.77%"
00970,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00970,"74.98%, 20.59%, 41.58%, -0.89%"
01268,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01268,"27.74%, 41.96%, 30.89%, 45.17%"
01293,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01293,"-7.08%, 44.37%, -5.08%, 2.12%"
01365,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01365,"16.69%, -20.3%, -68.13%, -352.72%"
01728,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01728,"5.78%, 37.72%, 19.07%, -14.9%"
01771,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01771,"-4.09%, 26.52%, 12.18%, -2.06%"
01861,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01861,"-17.9%, 6.84%, 4.2%"
01872,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01872,"45.56%, -0.1%, -4.95%"
01959,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01959,"18.84%, 19.91%, 2.94%"
03669,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03669,"25.72%, 32.04%, 3.62%, 12.62%"
03836,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=03836,"-31.35%, 32.17%, -25.67%, 43.7%"
08123,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08123,"-80.54%, 228.08%, 1069.75%, -4.47%"
08126,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08126,"-1.21%, 250.11%, 9.47%, 0.53%"
08135,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08135,"-29.25%, 362.11%, 8.27%, -74.71%"
08283,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08283,"9.08%, -15.82%, 19.46%, 28.66%"
08418,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=08418,"10.36%, -3.1%, -6.78%"
00175,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00175,"79.9%, 82.71%, 19.64%, -21.37%"
00179,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00179,"26.85%, 5.81%, -5.03%, -10.54%"
00305,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00305,"23.57%, -14.68%, -20.01%, -8.63%"
00422,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00422,"73.21%, -61.44%, -138.41%, -330.52%"
00425,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00425,"33.89%, 18.43%, 4.51%, 2.45%"
00476,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00476,"-60.55%, -85.6%, -70.22%, 173.09%"
00489,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00489,"3.46%, -7.14%, -17.52%, 0.57%"
00693,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00693,"2.69%, 10.58%, -2.94%, -9.97%"
00729,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00729,"104.5%, 241.07%, -77.11%, -76.29%"
00819,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00819,"22.53%, 17.9%, 15.23%, 15.99%"
00842,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00842,"33.24%, 13.35%, -9.25%, -3.76%"
00951,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=00951,"15.85%, 4.69%, 10.7%, 4.88%"
01043,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01043,"43.69%, -35.04%, 9.09%, -14.74%"
01057,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01057,"18.74%, -20.52%, -5.2%, -28.92%"
01114,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01114,"-17.5%, 8.55%, 53.88%, -74.04%"
01130,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01130,"40.25%, 167.5%, -4.76%, 2.19%"
01139,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01139,"-3.26%, -33.43%, -70.01%, -36.3%"
01148,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01148,"-11.19%, -24.91%, -1.74%, -31.56%"
01188,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01188,"161.63%, 144.98%, -11.71%, 49.57%"
01211,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01211,"60.37%, -5.7%, 0.73%, 0.05%"
01241,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01241,"-2.16%, -7.14%, -5.03%, -152.87%"
01316,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01316,"21.43%, 1.91%, -0.81%, -19.46%"
01372,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01372,"3616.05%, -13.11%, -93.76%, -546.07%"
01571,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01571,"39.96%, 23.04%, -3.71%, -22.94%"
01585,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01585,"11.14%, -13.63%, 38.62%, 28.31%"
01760,http://www.aastocks.com/tc/stocks/quote/detail-quote.aspx?symbol=01760,"25.93%, 28.01%, 45.56%, 3.63%"
